2020/02/14 10:08:06 [error] 6#6: *2 open() "/etc/nginx/../static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 10:08:06 [error] 6#6: *1 open() "/etc/nginx/../static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 10:08:06 [error] 6#6: *6 open() "/etc/nginx/../static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 10:08:07 [error] 6#6: *6 open() "/etc/nginx/../static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 10:08:07 [error] 6#6: *1 open() "/etc/nginx/../static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 10:08:07 [error] 6#6: *2 open() "/etc/nginx/../static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 10:08:08 [error] 6#6: *2 open() "/etc/nginx/../static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 10:08:08 [error] 6#6: *1 open() "/etc/nginx/../static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 10:08:08 [error] 6#6: *6 open() "/etc/nginx/../static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 10:08:08 [error] 6#6: *6 open() "/etc/nginx/../static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
